,date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
16250,2024-08-14,2024,Non League Premier - Northern,England,Stockton Town,,,Guiseley AFC,Not Started
22725,2024-08-14,2024,First League,Bulgaria,Septemvri Sofia,,,CSKA 1948,Match Postponed
26443,2024-08-14,2024,Non League Premier - Southern South,England,Winchester City,,,Wimborne Town,Not Started
26444,2024-08-14,2024,Non League Premier - Southern South,England,Havant & Wville,,,Chertsey Town,Not Started
28646,2024-08-14,2024,Serie A,Brazil,Internacional,,,Juventude,Not Started
